player_id,player_name,ranking
PL001,Ethan Rodriguez,1
PL002,Sakura Yamamoto,2
PL003,Marcus Thompson,3
PL004,Lila Patel,4
PL005,Jin-Woo Park,5
PL006,Isabella Rossi,6
PL007,Ahmed Hassan,7
PL008,Emma O'Connor,8
PL009,Carlos Mendoza,9
PL010,Zara Al-Rashid,10
PL011,Viktor Petrov,11
PL012,Mia Chang,12
PL013,Ryan Mitchell,13
PL014,Priya Sharma,14
PL015,Diego Silva,15
PL016,Natasha Volkov,16
PL017,Kai Nakamura,17
PL018,Olivia Johnson,18
PL019,Hassan Farid,19
PL020,Sophie Martinez,20
PL021,Chen Wei-Ming,21
PL022,Alex Turner,22
PL023,Fatima Benali,23
PL024,Lucas Anderson,24
PL025,Aisha Kumar,25
PL026,Marco Esposito,26
PL027,Yuki Tanaka,27
PL028,Jordan Smith,28
PL029,Layla Ibrahim,29
PL030,Sebastian Mueller,30
PL031,Min-Jun Lee,31
PL032,Grace Wilson,32
PL033,Omar Khalil,33
PL034,Elena Gonzalez,34
PL035,Rajesh Gupta,35
PL036,Noah Davis,36
PL037,Hiroshi Sato,37
PL038,Chloe Brown,38
PL039,Tariq Mansour,39
PL040,Victoria Chen,40
PL041,Gabriel Santos,41
PL042,Amara Okafor,42
PL043,Daniel Kim,43
PL044,Zoe Taylor,44
PL045,Arjun Singh,45
PL046,Lucia Fernandez,46
PL047,Dmitri Kozlov,47
PL048,Mei-Lin Wu,48
PL049,Tyler Brooks,49
PL050,Yasmin Ali,50
PL051,Antonio Ruiz,51
PL052,Ingrid Larsson,52
PL053,Kenji Matsuda,53
PL054,Madison Clark,54
PL055,Khalid Rahman,55
PL056,Camila Vargas,56
PL057,Pierre Dubois,57
PL058,Li Xiao-Yu,58
PL059,Ruby Watson,59
PL060,Samir Qadri,60
PL061,Julia Kowalski,61
PL062,Takeshi Fujiwara,62
PL063,Austin Miller,63
PL064,Noor Zahra,64
